Year,Title,Link,Abstract
2024,Accelerating Flow-Based Sampling for Large-𝑁 Gauge Theories,https://hdl.handle.net/1721.1/153909,"Due to its consistency with numerous experimental observations, the Standard Model of particle physics is widely accepted as the best known formulation of elementary particles and their interactions. However, making experimental predictions using the Standard Model involves mathematical and computational challenges due to its complexity. Quantum chromodynamics (QCD), which can be described as an SU(3) gauge theory due to the 3 quark colors and 8 gluon types, is one sector of the Standard Model for which computing solutions is especially challenging. A natural theoretical generalization of QCD is the class of all SU(𝑁) gauge theories; these theories also provide a method for some QCD computations in the 𝑁 → ∞ limit. To study these theories numerically, approximations are calculated from configuration samples due to the mathematical complexity and lack of analytical solutions.

In this thesis, we explore asymptotically efficient flow-based sampling algorithms for the twisted Eguchi-Kawai (TEK) model, a method for analyzing large-𝑁 QCD numerically. We introduce an original architecture based on SU(2) matrix multiplication that allows for efficient Jacobian computation. In addition, we explore the possibility of transfer learning with respect to the number of colors 𝑁 and demonstrate that a model trained quickly on the SU(𝑁) setting also provides useful information in SU(𝑁′), 𝑁′ > 𝑁 cases."
2024,Relative Robot Localization and Frame Alignment for Multi-Robot Collaboration,https://hdl.handle.net/1721.1/157823,"The growing field of collaborative robotics has the potential to enable and improve the execution of many challenging robot applications. For instance, with teamwork between multiple agents, dynamic object tracking can more completely cover an environment and trajectory planning becomes safer. However, for robots to share the quickly changing spatial information involved in these tasks, robots need to be able to express information originally sensed or planned in their own frame into the frame of neighboring agents. This can be challenging in cases where robots have no global pose information resulting in steady accumulation of error, or drift, in their local pose estimates. To mitigate the effects of drift, neighboring agents must make up-to-date estimates of the alignment between their frames, which can be difficult due to ambiguous alignments and the presence of outlier measurements. To address these issues, the first contribution of this thesis is a method for performing fast incremental frame alignment between pairs of robots, enabling collaborative multiple object tracking (MOT), the task of monitoring the locations of dynamic objects in an environment. To perform frame alignment, robots build up maps of recently seen static objects and use these maps and the detections of tracked dynamic objects to correct for frame drift. Using frame alignment estimates, agents share object detection information and account for additional uncertainty associated with the alignment estimate. The second contribution of this thesis presents a method to perform frame alignment with no initial guess. Many potential frame alignments are computed and we develop a filter that uses temporal consistency to reject outlier alignments and only accept a series of alignments that are consistent over time. We demonstrate in hardware experiments our ability to perform frame alignment in difficult scenarios and improve the quality of collaborative object tracking onboard real robots."
2024,Driving Emerging Technologies From Concept to Reality: A Case Study of Carbon Nanotubes,https://hdl.handle.net/1721.1/153326,"The evolution of electronics has transformed nearly every aspect of society and has been fueled by decades of relentless device scaling. However, electronics is facing a paradigm shift as serious obstacles challenge future progress. Continued scaling is growing increasingly difficult and already yields diminishing energy efficiency benefits. At the same time, other obstacles such as data bandwidth bottlenecks, interconnect density limitations, and reliability are limiting computing performance. Therefore, traditional routes to progress are insufficient, and new approaches must be investigated if we are to continue the technological advancement society has come to expect.

One major thrust toward overcoming these obstacles is the search for alternative, beyond-silicon technologies. Yet despite the promise of these emerging nanotechnologies, their nascency has made their integration into practical and useful electronic systems challenging. In my thesis, I aim to tackle this challenge and present a roadmap for how such new and immature nanotechnologies can be leveraged to not only set the foundation for futuristic next-generation hardware, but also realize practical systems that can have an impact today. As a case study, I use carbon nanotubes (CNTs) to demonstrate a realistic roadmap for commercially realizing these next-generation technologies. First, I show, for the first time, that every type of today’s conventional circuitry (digital, analog, and mixed-signal circuits) can be fabricated with CNT field-effect transistors (CNFETs). This provides a pathway for adopting these futuristic technologies today. Second, to show how CNFETs can play a role in the next generation of computing systems, I leverage the unique low-temperature fabrication of CNFETs alongside emerging memory technologies to achieve the finest 3D integration of emerging technologies to date, which I further use to enable a new circuit design technique. Third, to show how CNFETs can enable futuristic electronic systems that can impact application spaces beyond conventional computing, I leverage VLSI-compatible foundry fabrication of CNFETs to realize BioSensor chips capable of detecting and identifying infectious pathogens in liquid. These experimental demonstrations of CNFETs in today’s (conventional circuitry), tomorrow’s (dense fine-grained 3D systems), and futuristic (healthcare diagnostics) applications explicitly demonstrate a practical roadmap for how emerging nanotechnologies can be developed for near-term adoption while providing longer-term motivation for enabling next-generation electronic systems."
2024,Perturbation-invariant Speech Representation Learning by Online Clustering,https://hdl.handle.net/1721.1/153784,"Despite success across various tasks, self-supervised speech models face significant challenges in enhancing content-related performance with unlabeled data, requiring substantial computational resources. Meanwhile, learning from clustered discrete units has been shown to facilitate accurate phonetic representations. Thus, this thesis investigates speaker and noise-invariant speech representations. First, Speaker-invariant Clustering (Spin) is proposed to extract content representations through online clustering and speaker-invariant cross-view prediction. Second, Robust Spin (R-Spin) is devised to extend Spin to handle more distorted speech signals by leveraging acoustic pieces. Furthermore, this thesis includes a diverse set of evaluation and visualization techniques to quantitatively and qualitatively analyze the perturbation invariability of the proposed methods. This thesis offers approaches to producing perturbation-invariant speech representations and deeply investigates the characteristics of the learned representations, providing insights into these models and cultivating future extension possibilities."
2024,Toward In-Context Teaching,https://hdl.handle.net/1721.1/156326,"When a teacher provides examples for a student to study, these examples must be informative, enabling a student to progress from their current state toward a target concept or skill. Good teachers must therefore simultaneously infer what students already know and adapt their teaching to students’ changing state of knowledge. There is increasing interest in using computational models, particularly large language models, as pedagogical tools. As students, language models in particular have shown a remarkable ability to adapt to new tasks given small numbers of examples. But how effectively can these models adapt as teachers to students of different types? To study this question, we introduce a suite of models and evaluation methods we call AdapT. AdapT has two components: (1) a collection of simulated Bayesian student models that can be used for evaluation of automated teaching methods; (2) a platform for evaluation with human students, to characterize the real-world effectiveness of these methods. We additionally introduce (3) AToM, a new probabilistic method for adaptive teaching that jointly infers students’ past beliefs and optimizes for the correctness of future beliefs. In evaluations of simulated students across three learning domains (fraction arithmetic, English morphology, function learning), AToM systematically outperforms LLM-based and standard Bayesian teaching models. In human experiments, both AToM and LLMs outperform non-adaptive random example selection. Our results highlight both the difficulty of the adaptive teaching task and the potential of learned adaptive models for solving it."
2024,Standardization of Electronic Component Datasheets to Improve Systematic Data Extraction,https://hdl.handle.net/1721.1/156745,"This thesis addresses the challenge of standardizing electronic component datasheets to improve systematic data extraction. The absence of uniformity in datasheet design complicates the process of systematically extracting critical information, leading to significant manual effort and potential errors. This research explores the current state of datasheet standardization and examines existing systematic data extraction efforts from semi-structured documents. It highlights the limitations of current methods and emphasizes the need for further standardization to facilitate accurate and efficient data extraction. The thesis proposes a detailed methodology for transitioning electronic component datasheets from semistructured to structured formats through standardization. By defining common standards and specific structures for different types of datasheets, this approach aims to enhance both human readability and machine processing. The thesis concludes by discussing the broader implications of these standards and their potential applications in other fields. Through this work, the goal is to streamline the datasheet creation process, reduce manual intervention, and ultimately improve the accuracy and efficiency of systematic data extraction in the electronic components industry."
2024,Graphs of Convex Sets with Applications to Optimal Control and Motion Planning,https://hdl.handle.net/1721.1/156598,"This thesis introduces a new class of problems at the interface of combinatorial and convex optimization. We consider graphs where each vertex is paired with a convex program, and each edge couples two programs through additional convex costs and constraints. We call such a graph a Graph of Convex Sets (GCS). Over a GCS we can formulate any optimization problem that we can formulate over an ordinary weighted graph, with scalar costs on the vertices and edges. In fact, for any fixed choice of the variables in the convex programs, a GCS reduces to a weighted graph where we can seek, e.g., a path, a matching, a tour, or a spanning tree of minimum cost. The challenge in a GCS problem lies in solving the discrete and the continuous components of the problem jointly. By combining the modelling power of graphs and convex optimization, GCSs are a flexible framework to formulate and solve many real-world problems. The graph and the combinatorial goal (e.g., finding a path or a tour) model the high-level discrete skeleton of a problem. The convex costs and constraints fill in the low-level continuous details. The primary contribution of this thesis is an efficient and unified method for solving any GCS problem. Starting from an integer-linear-programming formulation of an optimization problem over a weighted graph, this method formulates the corresponding GCS problem as an efficient Mixed-Integer Convex Program (MICP). This MICP can then be solved to global optimality using common branch-and-bound solvers, or approximately by rounding the solution of its convex relaxation. Importantly, both the formulation of the MICP and its solution are fully automatic, and a user of our framework does not need any expertise in mixed-integer optimization. We first describe the GCS framework and the formulation of our MICP in general terms, without presupposing the specific combinatorial problem to be solved over the GCS. We illustrate our techniques through multiple examples spanning logistics, transportation, scheduling, navigation, and computational geometry. Then we focus on the Shortest-Path Problem (SPP) in GCS. This problem is particularly interesting since it generalizes a wide variety of multi-stage decision-making problems and, using our techniques, it can be solved very effectively. We consider two main applications of the SPP in GCS: optimal control of dynamical systems and collision-free motion iplanning. In these two areas, our techniques either generalize or significantly improve upon algorithms and optimization methods that have been developed for decades and are widely used in academia and industry. Lastly, the techniques introduced in this thesis are implemented in the software packages Drake and gcspy. The former is a large and mature software for robotics. It is open-source and widely used by the community. The second is a very simple and lightweight Python package which is also open source. In this thesis, we will illustrate the usage of gcspy through multiple basic examples."
2024,Improving Generative Models for 3D Molecular Structures,https://hdl.handle.net/1721.1/156161,"Generative models have recently emerged as a promising avenue for navigating the high-dimensional space of molecular structures. Such models must be designed carefully to respect the rotation and translation symmetries of molecules. In this thesis, we first provide an overview of existing methods and techniques in this rapidly developing field. Next, we present Symphony, an𝐸(3)-equivariant autoregressive generative model for 3D molecular geometries that iteratively builds a molecule from molecular fragments, improving upon existing autoregressive models for molecule generation and approaching the performance of diffusion models. The material in this thesis is primarily sourced from the publication “Symphony: SymmetryEquivariant Point-Centered Spherical Harmonics for 3D Molecule Generation"" [13] authored by Ameya Daigavane, Song Kim, Mario Geiger and Tess Smidt, and published at the International Conference on Learning Representations (ICLR), 2024."
2024,"Design of an Affordable, Precise Irrigation Controller that Lowers the Barrier to Water- and Energy-Sustainable Agriculture",https://hdl.handle.net/1721.1/154164,"With climate change and population growth exacerbating global food insecurity, it has become urgent to establish more water- and energy-efficient means to raise agricultural production. Available techniques to bolster crop productivity, such as solar-powered drip irrigation (SPDI) and precision irrigation, are currently cost-prohibitive for farmers in low-and middle-income countries (LMICs), where food insecurity will be most severe. This thesis demonstrates one method to reduce the barrier to these systems, by pairing them with a Predictive Optimal Water and Energy Irrigation (POWEIr) controller that optimizes irrigation schedules to make efficient use of solar and water resources for maximum crop yield. In doing so, POWEIr also decreases SPDI system costs.

First, this work confirms the hypothesis that scheduling irrigation activity to match the availability of variable solar power enables SPDI cost savings. For a fixed irrigation system, a SPDI full-season operation simulation study was conducted and the impact of adjusting the pumping load dynamically to match solar power availability was assessed. When evaluated against conventional operation, this process of profile matching enabled a power system lifetime cost decrease of >18% while delivering 100% of the required irrigation for a simulated two-hectare Kenyan tomato farm with over 50 m well depth.

To exploit these cost and reliability benefits, this work proposes the POWEIr controller. The POWEIr controller leverages machine learning and utilizes a small set of inexpensive sensors to optimize irrigation schedules based on solar energy and crop water demand pre-dictions. The performance of the POWEIr controller was evaluated with an experimental SPDI prototype and compared to simulated typical farming practices. For the same irrigation delivered, a six-fold decrease in the required battery capacity was observed. With no batteries, the POWEIr controller still satisfied a greater fraction of the irrigation demand. Overall, compared to typical practice, the controller provided more reliable irrigation using solar power, with minimal battery usage.

High reliability at low cost necessitates that the POWEIr controller’s irrigation schedules are robust to errors in agronomy inputs and weather data. Sensitivity to these errors was assessed by evaluating the impact on simulated irrigation amounts and crop yield. It was found possible to rely on weather data from an economical station, costing $190, 83% less than a better-equipped research-quality alternative, with negligible consequences to crop yields. This conclusion held steadfast across diverse crop and soil types. The crop coefficient was the most significant factor affecting irrigation performance, thereby pointing to the need for calibration of this factor alone. This underscores the POWEIr controller’s capability to accurately optimize irrigation schedules for only essential water use while relying on affordable sensors and minimal calibration.

Finally, the POWEIr controller was piloted on farms in Jordan and Morocco and performance was benchmarked against measured local, conventional drip irrigation practices on similar farms. It provided up to 44% and 43% savings in water use and pumping energy consumption, respectively, for similar crop yields. This result demonstrates theory to practice of accessible precision agriculture technology and offers tangible evidence of the POWEIr controller’s potential to raise agricultural sustainability."
2024,"Automated Engineering Design for Reusable Concrete
Building Structures",https://hdl.handle.net/1721.1/157357,"Concrete contributes to 8% of global CO2 emission through reinforced concrete (RC) structural system. Unlike steel and timber structures, RC components are rarely reused due to the inseparable phase between concrete and steel. This results in down cycling of the components into aggregates or landfill material. The Pixelframe structural system [1] was proposed to facilitate the reusability of concrete components by implementing the existing external post-tensioning system in bridge structures and fiber reinforced system to design building beams and columns. This work presents an automated engineering design workflow for Pixelframe, including a engineering mechanics of the system that conforms to ACI 318- 19 [2] and fib Model Code 2010 [3], half-scale tests to verify the preliminary behavior of the system, and a scalable design algorithm for minimum embodied carbon designs. The workflow also uncovers new insights on choosing ranges of concrete strengths based on the element lengths and potential carbon reduction from refining the number of different concrete strengths in a building. This work demonstrates the utilization of existing building systems in the context of reusability and the potential of automated computational structures in aiding the design decisions to facilitate the circular economy of concrete structures."
