year,title,college,author,supervisor,matched_domain,similarity,abstract
2023,面向复杂场景的交互式图像分割,计算机学院,林铮,程明明,CV,0.3815,"交互式图像分割指的是一种用户在图像上不断添加交互以获得目标对象精确掩膜的分割任务。该任务对于基于深度学习的计算机视觉领域所需的大规模数据标注具有重大意义，同时也作为图像编辑、目标标识等工作的基础。由于用户的任务需求不同，交互式图像分割需要面对各类复杂场景，其可能存在不同的图像类型、物体分布、目标结构等。在此情况下，该任务主要存在以下四个逐步递进的难点与挑战：（1）目标定位不准确；（2）局部区域精度低；（3）细小结构交互难；（4）医学图像分割差。面对这些难点，如何设计高性能的网络模型以及高效率的交互模式成为了面向复杂场景的交互式图像分割的关键问题。

      对应上述挑战，本文由主到次提出了四个研究目标，从网络模型和交互模式两个维度提供了解决办法，并在多个数据集上取得了领先性能。具体内容如下：

      1. 为了实现针对目标定位的全局物体分割，本文提出了基于初始交互点注意力的交互式分割。该工作突出了初始交互点的目标定位作用，并提出了初始交互点注意力网络。该模型利用初始交互点的指导信息解决了目标的定位问题，并使其他交互点能更好地实现修复目的。

      2. 为了实现针对精确细节的局部区域分割，本文提出了深入聚焦视角的交互式分割。该工作提出了聚焦分割的流程框架。该框架从交互点的聚焦视角出发，在整体分割的基础上，对交互点周围的局部分割进行精细化修复，有效地提升了交互式分割方法对于细节的分割性能。

      3. 为了实现针对细小结构的复杂拓扑分割，本文提出了修复细小结构的切割线交互式分割。该工作针对细小结构物体提出了新的切割线交互模式并设计了相应的网络模型。该模型利用细小区域的相似性，让用户自由地对局部或全局的细小结构分割进行修复，有效地减轻了用户的交互负担。

      4. 为了实现针对低对比度的医学图像分割，本文提出了面向医学图像的多模式交互式分割。该工作设计了一个多模式的交互式医学图像分割框架。该框架不仅集合了多种初始及修复的交互模式，而且通过一个共享网络使这些交互相互协作，对低对比度医学图像中的目标进行高效分割。"
2024,边缘计算场景下的任务分发和资源分配方法研究,计算机学院,于朝阳,刘晓光,CV,0.253,"随着网络通信和物联网技术的快速发展，终端设备数量呈指数级增长，海量的数据需要实时处理。同时，自动驾驶等新一代物联网应用对服务质量也提出了更高的要求。边缘计算作为新兴的计算范式，将云计算能力下沉到数据源附近，不仅减轻了远端云数据中心的带宽压力，降低了数据传输延迟，也缓解了终端设备的计算和存储压力，能够满足不同应用领域对计算的多样化需求。人工智能技术的发展进一步推动了边缘计算平台的部署，开启了万物智联新时代。


尽管边缘计算提供了更高效、安全和实时的计算环境，边缘任务分发和资源分配问题仍然存在尚未解决的重要挑战。首先，在单边缘云场景下，非欧式结构数据难以进行有效特征提取，不合理的任务分发策略会降低边缘系统的资源利用率。如何高效进行任务分发，并维持边缘服务器集群的负载均衡是一个难题。其次，多边缘云协作任务分发能够实现资源共享，缓解单边缘云计算压力。然而，瞬时高并发任务会导致边缘服务器负载具有高度不确定性。如何准确预测负载，并实现任务计算延迟和卸载成本的多目标联合优化，从而提高多边缘云协作的效率，是一个重要的挑战。最后，边缘服务器执行的资源分配策略同样会影响边缘系统整体性能，资源分配不当会增加任务延迟，加剧任务间的资源竞争。如何精确模拟边缘服务器的资源利用追踪数据分布，优化其资源分配和调度，同时保证边缘服务商利益和用户服务质量，又是一项重要挑战。


国内外学者已经对边缘场景下的任务分发和资源分配问题进行了探索，在提高任务执行效率和优化边缘系统性能方面取得了一定的成果。然而，前人的研究对象缺乏对非欧式结构数据的关注，对环境状态的感知和建模不够完善。此外，已有的研究方法缺乏主动探索环境的能力，难以在动态复杂的边缘环境下实现任务分发和资源分配的自适应决策和持续优化。本文引入人工智能技术，基于深度强化学习进行边缘计算场景下的任务分发和资源分配。首先，归纳四个模型设计原则，以指导任务分发和资源分配系统框架的设计，确保边缘环境模型开发和部署的可靠性，适应物联网多样化的应用需求。接着针对上述挑战，分别在不同边缘场景下，基于不同的研究问题和优化目标，建立高效和自适应的边缘任务分发和资源分配决策机制。具体来说，本文包含以下三个工作：


第一，针对单边缘云下任务特征难提取、任务分发负载不均衡的问题，提出了一种基于深度强化学习的单边缘云任务分发模型。该模型使用图注意力神经网络对有向无环图类型的作业进行有效特征提取与聚合，动态学习任务本身及子任务之间的隐含信息；基于高维抽象任务特征与边缘服务器资源特征建模环境状态，通过深度Q 网络在线进行任务分发决策，保证了任务分发位置的公平性。从长期角度来看，该模型实现了单边缘云下多个边缘服务器之间的负载均衡。相较于GRL 算法，提出的模型最大平均性能提升可达到6.22%。


第二，针对多边缘云下负载预测难、任务分发协作效率低的问题，提出了一种基于双分支强化学习的多边缘云安全协作任务分发模型。面对大量的瞬时高并发任务，通过多边缘云协作方式降低了任务计算延迟，缓解了单边缘云的计算压力。该模型采用双向长短期记忆网络预测边缘服务器负载，降低了瞬时高并发任务引发的边缘服务器负载的不确定性；通过图神经网络对有向无环图作业和无向加权图边缘网络拓扑进行特征提取和聚合，以完善环境状态的建模。该模型基于双分支强化学习方法，从长远角度实现任务计算延迟和卸载成本的多目标联合优化，提出的模型相对于GRAM 算法的最大性能提升达到10.13%。


第三，针对多边缘云下的资源追踪分布模拟不准确、系统资源利用率低的问题，提出了一种基于多经验回放强化学习的多边缘云资源分配模型。将研究问题从任务分发扩展到资源分配，旨在优化边缘系统性能。该模型基于生成对抗网络进行半监督学习，对边缘服务器历史资源利用追踪数据分布进行精确模拟，预测边缘服务器未来资源利用率。该模型建立带有优先级的多经验回放强化学习机制，提高了采样效率，降低了样本之间的相互影响，从长期角度来看提高了边缘服务器的资源利用率，同时保证了边缘服务提供商的利益和用户服务质量。提出的模型相对于MMRA 算法的最大性能提升可达到48.21%。


综上，本文基于深度强化学习方法解决了单边缘云场景下的任务分发、多边缘云场景下的安全协作任务分发及多边缘云场景下的资源分配问题。研究场景从单边缘云扩展到多边缘云，研究目标从单目标优化扩展到多目标联合优化，研究问题从任务分发扩展到资源分配，建立了边缘计算场景下高效和自适应的任务分发和资源分配决策机制。本文研究工作所涉及的问题及提出的解决方案为未来边缘计算领域的任务管理和资源调度研究提供了新的方向和思路。"
2024,基于神经网络的医学图像篡改检测与定位研究,计算机学院,王南,王刚,CV,0.3125,"数字化信息系统在医疗领域得到广泛应用，发挥着日益重要的作用。通过实现医学图像等诊断信息的传输，远程医疗诊断逐渐成为现实，同时为学术界的教学和科研也提供了便捷。然而，随着这一数字化趋势，医学图像篡改问题成为学术界和医疗界亟待解决的安全隐患。与自然图像不同，受限于医学图像视觉质量和检测精度的特殊性要求，针对医学图像的篡改检测与定位的相关研究仍处在探索阶段，现有算法在精确性方面仍显不足。


本文针对医学图像的精细纹理结构与灰度变化特点进行深入剖析，研究针对医学图像的篡改检测与定位。本文针对复制—粘贴和拼接篡改问题，提出了一种新颖的医学图像篡改检测与定位网络模型，命名为MemAU-Net。在这一模型中，本文引入了记忆增强的注意力门（Memory-Enhanced Attention Gate, MAG），通过整合到U-Net的跳层连接中，增加记忆补充模块（Memory Supply）和记忆聚焦模块（Memory Focus）有效融合了浅层和深层特征，优化了特征表示，使得注意力机制更适用于医学图像篡改定位任务。同时，本文引入全连接条件随机场（Dense CRF），以平滑检测结果边界、减少误检和漏检。实验证明，MemAU-Net分别在眼底和肺部CT两个医学图像篡改数据集上，相较基线模型均达到最优表现。添加Dense CRF进一步提高了精确度并增强了可视化效果。此外，MemAU-Net对于不同篡改后处理和噪声攻击都表现出了良好的鲁棒性。


鉴于扩散模型在图像生成领域的卓越性能和潜在的强大特征提取能力，结合对于实际医疗场景的时效性和资源受限程度的考虑，本文提出了一种基于扩散模型和知识蒸馏的医学图像篡改检测与定位算法，命名为 DDFL（Diffusion Distillation Forgery Localization），由扩散模块和蒸馏模块两部分构成。算法通过扩散模块强化医学图像篡改特征，同时引入知识蒸馏技术，在保持性能的前提下减小模型规模，解决了扩散模型采样慢、参数多、模型大等问题。实验结果表明，DDFL在混合不同模态医学图像的篡改定位任务上取得了优越性能，用轻量级网络实现了医学图像的精确篡改定位，并对于旋转、缩放篡改后处理和噪声攻击表现出鲁棒性，更适用于存储和计算能力有限的医疗设备。"
2023,复杂场景的自适应视觉感知,计算机学院,高尚华,程明明,CV,0.4161,"视觉感知旨在理解视觉场景中的语义要素。面对复杂场景进行鲁棒的视觉 感知，需要感知系统具有强大的自适应处理能力，进而需要在模型架构和表征 学习策略两个方面处理如下挑战:(1)面对复杂多变的场景，模型架构需要具备 多尺度特征自适应处理能力和相应的感受野。(2)复杂场景产生的大规模和多 样化的数据使人工标注过于昂贵，因而要求模型能够在尽可能少的人工干预下 完成对数据的表征和理解。(3)复杂场景导致训练数据和模型体积的激增，因 此要求新模型能够有效利用现有模型的知识储备自适应地学习更强的表征，从 而降低训练学习的计算开销。


针对以上问题，本文着重研究在复杂场景下增强网络架构的多尺度和感受 野自适应能力，以及表征学习策略的数据和模型学习的自适应能力。具体而言， 本文对以下几个方面的自适应感知能力进行研究。


1)本文提出了基于残差递进多尺度模块的主干网络架构，其多尺度特征的 自适应表征能力得到组合爆炸式的提升。所提出的主干网络架构在分类、检测 等十多种典型视觉任务中取得了显著性能提升。


2)为了克服传统方法手工指定感受野大小的局限性，本文针对复杂场景实 际需求，提出对卷积神经网络感受野进行从全局到局部的自适应搜索的有效算 法。该感受野搜索算法可以有效提升多种应用中的模型性能。


3)为了避免昂贵的数据标注，本文提出了大规模无监督语义分割问题，并 设计了有效算法。该算法通过自我表征学习从百万量级数据中学习丰富的语义 特征，并将自适应总结出的上千个语义类别分配给大规模数据中的每个像素。 本文验证了无需人工标注的自适应大规模视觉感知是可行的。


4)本文提出绿色可持续视觉感知模型学习的新概念。通过构建基于掩码重 建的目标增强条件化自监督预训练机制，本文方法可以自适应地学习并超越特 性各异的已有视觉模型，避免了现有神经网络基础模型从头开始训练导致的计 算量和能耗过高的问题。"
2023,边缘辅助下基于 SVC 的文本视频超分方法研究,网络空间安全学院,张海玉,张建忠,CV,0.3315,"近年来，随着5G与人工智能等技术的不断发展，远程教育快速普及，线上教学逐渐成为教学的主要形式。在线上教学形式中，教学视频的学生端观看质量是影响教学效果的重要因素。当下广泛使用超分辨率技术、更有效的编码方式和边缘计算等技术来提升视频传输与播放的质量。因此本文通过相关工作的调研，分析上述方法中存在的问题与挑战，并针对性地开展研究，以提高在线教学中的视频质量。论文的主要工作如下：

      首先，本文提出基于SVC可伸缩视频编码的文本视频超分方法。该方法有效结合SVC可伸缩视频编码技术与视频超分辨率技术，能够提升在线教学视频的观看质量。首先分析了SVC可伸缩视频编码用于视频超分辨率的可行性：SVC可伸缩编码的特点能够满足视频实时内容自适应的训练需求，不断调整的 模型参数使模型能够更好适应当前视频内容，超分效果更好。其次针对在线教学视频内容大多以文字为主的特点，设计了文本视频超分模型，改进其预处理方法及损失函数，使模型在字体轮廓及色彩方面有更好的超分效果。最后对基于SVC的文本视频超分方法使用数据集进行实验验证，结果证明此模型能满足视频超分的实时性要求，且相对于基准方法在视频观看质量上有较好的提升。

      其次 ，本文设计并实现了边缘云辅助的在线教学视频超分系统。系统由核心云、边缘云、端用户三层网络架构组成。在核心云中设计实现了部署调度模块与模型同步模块。其中设计服务编排算法，实现工作节点的动态编排与调度；设计超分模型同步方法，实现超分模型共享。在边缘云中设计实现了资源监控模块、超分任务模块及视频传输模块。其中设计监控方法实现对工作节点的资源监控；设计合理的超分任务训练推断流程和视频传输  网络架构，有效发挥SVC编码优势，降低网络带宽消耗。在端用户中提出了SVC自适应分辨率算法，并在此基础上提出了符合在线教学场景的QoE评价标准。本文设计API实现模块之间的通信，并在设定的网络波动情况下使用在线教学视频数据集对系统稳定性进行评估，实验结果证明，本文系统对网络波动有较高适应性，能够有效提升视频用户观看质量。"
2023,基于安全多方计算的隐私保护特征选择协议研究,网络空间安全学院,韩叶,刘哲理,Security,0.2858,"多方数据协作的价值日渐凸显，在数据安全和隐私保护的必然需求下，隐私计算技术正在受到越来越多的关注。作为代表性的基本密码技术，安全多方计算成为了解决跨组织的数据分享、流通和使用中面临的数据安全和隐私问题的重要手段。在此基础上构建而来的隐私保护机器学习技术是隐私计算协作数据分析领域的代表性方案，作为密码学和机器学习的交叉领域，该技术在解决隐私问题方面取得了重大进展。本文重点关注协作数据分析场景下，隐私保护机器学习在数据利用中的数据安全问题。目前，该领域的大部分研究工作主要集中在隐私保护的模型训练过程，而忽略了数据准备阶段的以特征工程为主要代表预处理步骤。由于数据来源于互不信任的多方，而各方需要协调统一进行特征选择等操作，任何数据泄漏都会影响原始数据的机密性，从而使得后续基于隐私计算的模型训练变得毫无意义。同时，安全数据处理协议的效率是开展实用数据合作的重要前提。


本文基于安全多方计算技术，提出了一个新的高效隐私保护的特征选择框架。该框架允许数据协作参与方在保护数据隐私的前提下完成对数据目标特征的选择，同时在协议结束后任何一方都无法获知被选择的特征的具体信息。为了进一步提升效率，在该框架的基础上，本文对协议设计的子模块进行了效率优化，给出了该场景下更为高效的安全top-k查询协议，用于完成对于特征评分排名的茫然查询，而不披露任何额外信息。本文所提出的隐私保护特征选择协议独立于具体的模型训练过程，具有良好的扩展性，能够与各种特征评分指标结合使用。作为一个示例，本研究探索了安全多方计算环境下皮尔森相关系数的使用，并实现了一个基于皮尔森相关系数的隐私保护特征选择协议。本研究对所设计的协议进行了理论和实验的评估，在三个公开真实数据集上进行了测试，结果显示，本文所提出的隐私保护特征选择协议是当前最高效的方案，在计算复杂度和通信开销上都有显著的提升，同时其扩展性可以良好地和现有技术相结合，以促进数据协作分析任务的开展。"
2023,基于Hopfield能量函数的OOD检测研究,计算机学院,张劲松,王刚,CV,0.3613,"近年来，深度神经网络的迅速发展极大的改善了人们的生活水平，但伴随而来的便是神经网络的安全问题，其中，OOD (Out-of-Distribution) 检测便是神经网络安全性问题的一大研究难点。在实际生产应用中，神经网络只有应对与训练集同分布（记作ID数据: In-Distribution）的测试用例时，其输出才是有意义的，反之，若测试用例与训练集属于不同分布（记作OOD数据），则其对应的输出毫无意义且存在安全隐患。


现有的神经网络，在面对与训练集同分布的ID数据，表现出越来越精确的预测准确性。然而当神经网络输入的样本为OOD数据时，神经网络同样会表现出和ID数据一样的高置信度，这使得神经网络无法轻易的识别出OOD数据。并且，由于OOD数据属于未知数据，具有不可预测的特点，通过训练的方式主动疏远OOD数据并不可行。


本文提出一种基于Hopfield能量函数的“存储-比较”的方式来进行OOD检测。该方法选取神经网络的倒数第二层输出特征图作为研究对象，首先选择了训练集中样本对应的特征图进行存储。其次，当网络进行在线推理时，该方法利用Hopfield能量函数作为衡量标准，将测试样本对应的特征图与提前存储的特征图进行比较，并计算出对应的Hopfield能量函数，进而判断测试样本是否属于ID数据。此外，为了降低Hopfield网络所带的存储开销和计算复杂度的成本，本文简化了传统的Hopfield能量函数，并提出一种免除超参数的OOD检测方法，并从实验和理论角度分析了简化的可行性。本文分别在CIFAR10，CIFAR100和ImageNet数据集进行了实验，选取了三种常用神经网络和九种常用的OOD检测数据集，大量的实验结果表明我们的方法具有简单且有效的特性。"
2023,基于带内遥测的网络拥塞控制方案设计与实现,网络空间安全学院,蔺雪莹,张建忠,Network,0.3521,"近年来，随着互联网产业的发展和规模的增长，多种新兴应用层出不穷，用户在使用网络应用的过程中对网络服务质量提出了更高的要求。网络运营商希望通过提升实时性、可靠性进一步满足用户体验。网络拥塞是影响网络服务质量的重要因素之一，传统的拥塞控制机制主要通过路由调度或控制发送方的发送速率等方式实现。随着可编程网络等新型网络架构的出现，在数据平面调整交换机缓冲区大小以解决网络拥塞问题，成为新场景下改善网络性能的有效方案。


       基于上述思想，本文在可编程数据平面的基础上，结合带内遥测技术和深度强化学习模型，实现了自适应调整交换机缓冲区大小的拥塞控制系统。本文设计的系统可以实时收集交换机内部的网络状态信息，利用深度强化学习模型对交换机缓冲区大小进行动态调整，达到保障网络服务质量、改善网络性能的目的。本文重点研究了带内遥测技术的设计与实现，主要包括的研究内容如下。


       首先，分析了带内遥测技术中的关键点，并在可编程数据平面实现带内遥测方案，对遥测模式、数据包格式等细节进行设计，以实现收集交换机内部实时、细粒度的网络状态信息的功能。相比于其他的网络测量方案，该方案在降低通信成本的同时，在使用上也更加高效。同时，基于带内遥测的设计方案，在硬件环境中对主机、交换机和遥测服务器的功能进行实现和验证。其中，主机用于发送和接收数据包；交换机用于对接收到的数据包进行处理，使其携带遥测信息；遥测服务器用于对数据包中的遥测信息进行提取。


       其次，在带内遥测技术研究的基础上，本文搭建了相应的原型系统，通过调整交换机缓冲区大小实现对网络的拥塞控制，并对系统性能进行测试分析。系统由带内遥测、数据训练、数据库、前后端交互等4个模块组成。由于硬件环境的限制，带内遥测模块移植在软件仿真环境下再次实现。实验结果证明，系统方案在多种网络服务质量的优化目标下，均能够达到良好的性能。例如，在UDP的低延迟场景下，相比于固定缓冲区大小为100的方案，系统实现的MAABS策略在效果上提升了176.6%。"
2023,基于口令的多因素认证协议研究,计算机学院,徐美佳,汪定,Security,0.3223,"身份认证是保障信息系统安全的第一道防线，往往也是唯一的防线。在身份认证中，口令作为最简便的认证方法，在可预见的未来仍是最主要的身份认证方法。在基于口令的单因素认证协议中，口令通常被存储在服务器中，一旦服务器被攻击导致口令文件泄漏，可能会引起口令被暴力破解等问题。因此对安全需求高的无线传感器网络应用，采用口令与其它认证因素相结合的方式进行认证，基于口令的多因素认证协议因时而生。然而研究表明，大多数多因素认证协议在被提出不久即被攻破。如何设计一个基于口令的多因素认证协议，使之避免陷入“破坏-修补-破坏-再修补”的恶性循环仍是一个亟待解决的问题。此外，为保障协议的安全性，还应对所设计的协议进行安全性分析。最新研究指出，协议的安全性应包含两个层面：（1）协议“独立”执行时的安全性；（2）协议作为一个模块与其他协议并发执行或被调用时的安全性（即通用可组合安全，又称UC安全）。协议独立执行时的安全性分析往往采用形式化的证明方法（如随机预言机模型和自动化分析工具），而基于口令的多因素认证协议的通用可组合安全问题鲜有研究。为解决上述问题，本文进行了以下工作：


（1）对新近提出的三个具有代表性的基于口令的多因素认证协议进行分析，以这三个协议为例，指出大多数协议中存在的共性问题，例如不能抵抗离线口令猜测攻击和节点捕获攻击，针对各类问题分别提出了相应的解决办法。


（2）基于Ma等人提出的协议设计原则和Wang等人提出的12条协议评价指标，提出一个基于口令的多因素认证协议，在随机预言机模型下证明了协议的安全性，并与新近提出的15个协议进行对比。对比结果显示，本文提出的协议在保障安全性的前提下，性能明显优于其他协议。


（3）基于通用可组合模型提出一个新协议并证明其通用可组合安全性，其中首次设计了基于口令的多因素认证UC理想功能函数，并采用当前最先进的自动化分析工具Tamarin建模并分析协议的安全属性。对比分析了自2009年以来提出的具有代表性的66个多因素认证协议，分析结果显示，本文提出的协议是唯一可满足Wang等人的12条协议评价指标并保证通用可组合安全的协议。"
2023,一种提升去中心化程度和共识算法安全性的区块链系统,网络空间安全学院,袁也,李雨森,Security,0.2913,"去中心化、安全和高效率构成的不可能三角一直是区块链研究的重要方向。越来越多的学者围绕着区块链的去中心化、安全和高效率展开研究，试图打破不可能三角。本文提出两种技术，分别在去中心化特性和安全性方面做出提升。


在去中心化方面，本文首先梳理了区块链系统的三类主要参与者：合格参与者，机构类参与者，投机性参与者；分析了这三类参与者对去中心化的影响并给出了去中心化程度的衡量变量；然后提出一种新的区块链经济系统，包含激励机制和货币机制，该系统实现了以下目标：


（1）设计激励机制使机构类参与者在参与共识的过程中可流动收益期望小于其最低接受值，从而主动退出系统，同时合格参与者与投机性参与者保持较高参与程度，提升区块链的去中心化程度。


（2）设计新的双币并行的货币机制，使货币总流通量在项目初期和发展期均能匹配货币需求，从而起到稳定币价、推进区块链生态稳定发展的作用。


实验过程将未使用本文经济系统和使用该系统的两个模型形成对照，在本文系统中投机性参与者的参与程度相较于对照模型提升了100%以上，机构类参与者在项目初期相较于对照模型参与度降低60%，很快其参与度降低为0，合格参与者的参与程度保持在50%以上，系统的去中心化程度提升了50%以上，在不同的代币消耗速度下货币机制均能调节代币数量，使代币供给匹配需求。


在安全性方面，随着近年来部分哈希算法安全性受到威胁，哈希算法在区块链共识中的应用也为区块链系统带来了安全风险。本文在区块链系统中分别采用Legendre序列、累加器技术和CMAC技术替换哈希算法挖矿、成员证明和摘要方面的应用，基于Bitcoin源代码实现了无哈希的区块链系统，给出了安全性证明，实验结果表明新的区块链系统能够完整实现挖矿、摘要、成员证明功能。"
